username,full_name,comment,create_time,avatar,total_like,total_reply,replies
nissaulkamila,Nissaul Kamila M,Pantesan ya Allah negara ini gak maju maju😢,2025-12-06T15:05:31,https://scontent.cdninstagram.com/v/t51.82787-19/559672413_18530890792055115_4804117743915469066_n.jpg?stp=dst-webp_s150x150&_nc_cat=111&ig_cache_key=GF3sWyFLMQg7v9VBAAqJO4Gip6tCbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy41ODEuQzMifQ%3D%3D&_nc_ohc=_BNKF8v1QS4Q7kNvwF1boE4&_nc_oc=Adn4D5qSxoL5_hiljybYInw0Y41o-rgj_Q0XhQ-moRg0QKcjqYmpwbWNCdzsfajekeCMkIJZVibEf4u6y2Wf_vxL&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=TurruKeBmjMaZw_3OueG7A&oh=00_AfnR0VrmhpvOK5A1O4d3cnSpnU4DN1NPa0fy98QVxU_BWA&oe=693B5245,0,0,[]
junysusanti,Juny Susanti,Ga bakal dibawa ke akherat pak,2025-12-06T15:04:31,https://scontent.cdninstagram.com/v/t51.2885-19/418353284_331435356471589_6435002208088799030_n.jpg?stp=dst-webp_s150x150&_nc_cat=103&ig_cache_key=GISQ7xglQbBOcC0BADa3-AVquE1ZbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy44MjguQzMifQ%3D%3D&_nc_ohc=yvTZ0tCogvkQ7kNvwF_sf-w&_nc_oc=AdkyXMes048NQfbW_Vqy6f3Hl1fjmUxijDX9RVWhl0QxJ2yd_UCnbr2mxPIKdVc89Nv7mQX7PGuqe-QauJCczNjq&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AflurWm-nUxgoj-l8DpQL78FeNHUwscCuyYZzEef8LD6FA&oe=693B4FF7,0,0,[]
nasgor_flamboyan9,Dede Muhamad Ramadhan,"Berarti lu emang penjahat ,cilok kecap 🌚",2025-12-06T15:04:08,https://scontent.cdninstagram.com/v/t51.2885-19/350591284_770010954830842_3797872938408624198_n.jpg?stp=dst-webp_s150x150&_nc_cat=106&ig_cache_key=GDSZ5RT6k28lUrwCAEZA6sNQwbQ0bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43MjAuQzMifQ%3D%3D&_nc_ohc=3BOqe6bPUQQQ7kNvwGeT5tr&_nc_oc=AdkEzKvD73ogqTtO5VVEcScVYs1VzWPxheZauXCtwYA8ECBm0GoEYE0xeLaR-UYarpXExA7qRBilDF8NUHoXVrrH&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfltsZSFTkXWfoe-ZEABH8bU36FoiSfq7Owigif0HOFu0A&oe=693B4EC0,0,0,[]
vavayae,Yaya,Astaghfirullah lil. Istighfar,2025-12-06T15:04:05,https://scontent.cdninstagram.com/v/t51.82787-19/588551227_17950409736026326_5773256781093612148_n.jpg?stp=dst-webp_s150x150&_nc_cat=101&ig_cache_key=GDuUFCPWeONzzcU-AHQqM1J0uh5QbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=LyXZvzTeLIYQ7kNvwE2sBld&_nc_oc=AdkAfPBR1i6skh5boarUi7ZmX1TU22d7M0XCeP4DmFzImA3OVFKhb7fXEN4lWwui51XeN-ZFf2RANlbUG_hNO0LX&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=TurruKeBmjMaZw_3OueG7A&oh=00_AfldyDXoisCtEasesrnJcwiKa67mH7vY9n-CCJjq0164yg&oe=693B5D89,0,0,[]
anyaaa.o,,sakit jiwa,2025-12-06T15:03:48,https://scontent.cdninstagram.com/v/t51.89012-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-webp_s150x150&_nc_cat=1&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy5DMyJ9&_nc_ohc=Z7kRd9ibHtAQ7kNvwFKSOEN&_nc_oc=AdlL3vWj1jx6z3J6bKwjBvIXPTDi-W8nONhSQb6908G4MTYhi54Qm225FG7ADBQ_J8bCHO8xgElR7P8hEHGLrR6L&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=TurruKeBmjMaZw_3OueG7A&oh=00_AfkaE3o6aJZU6Ybw68RcK6NnIubGhwz0pMxdlGHLUTX4qg&oe=693B3C99,0,0,[]
aan.jawa2683,Susanto Lie,Terimakasih atas pengakuan nya pak....,2025-12-06T15:01:09,https://scontent.cdninstagram.com/v/t51.2885-19/370542436_3562929180641592_1428272167024315613_n.jpg?stp=dst-webp_s150x150&_nc_cat=107&ig_cache_key=GGQHFhY4CSwYd6gMAN3MD-b3PdITbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42NDAuQzMifQ%3D%3D&_nc_ohc=P4LlECbqASYQ7kNvwFLHs9s&_nc_oc=Adm0CEmCPKbov-y5WL7fxGDwkvCL_BLnI8N3KY3zbEq07znRpnsRZvIgGNWj9CMagUqltVPneLefREBmIrSBfshj&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfnagWTK_I1XPZ0mAzNqwtv9mNaXfT4wYM0-Y5uAKBYhjw&oe=693B4D9C,0,0,[]
bonita_martha,Bonita Martha Diana,Woah 🗿🗿🗿,2025-12-06T15:01:03,https://scontent.cdninstagram.com/v/t51.2885-19/273990492_461738769008729_2424427483747917516_n.jpg?stp=dst-webp_s150x150&_nc_cat=107&ig_cache_key=GFzDVBBZSE7v8qMBAMwefYjzS6UhbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=ERkXkcRBtvoQ7kNvwHqZvds&_nc_oc=Adl1Xf1yHKC8UQtd9k02NBtOFdsUI-316rWoxPNjv2l1yWI3h-ruyQYxbbYp975Hx7xgcLQjAzkLz7gWPfG0P-Dc&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfkM_poGcvnB0L3JXpn22foWBCr2Stcq5GBNliusfHBalw&oe=693B5737,0,0,[]
afrita_nazwan,Afrita Neli,Ngeri nih orang....,2025-12-06T14:59:30,https://scontent.cdninstagram.com/v/t51.2885-19/274606129_689324858748890_5997152895514527533_n.jpg?stp=dst-webp_s150x150&_nc_cat=104&ig_cache_key=GDEoXhDaL1fz73ICAC1H2cDIKjpTbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43ODAuQzMifQ%3D%3D&_nc_ohc=oyNfMfstACEQ7kNvwG5-Ik9&_nc_oc=AdkIhkiwJJJGxDqcPAwcXfMZsC6eDWHPelK-HaPqTARnA2T3uU4bmXmP9-DDHAvtVt8pLeTxTERhYzst_xLamnJv&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_Afk0sZCuTYh_eiUDDJS6AbADRX9xF37hJrLalB5VfbrnUw&oe=693B622A,0,0,[]
firlaar,Shafira Sabila,Duh pak makan dulu yuk sebelum pidato,2025-12-06T14:58:49,https://scontent.cdninstagram.com/v/t51.2885-19/197783722_820719635247716_8797987870590460933_n.jpg?stp=dst-webp_s150x150&_nc_cat=102&ig_cache_key=GKrwyQtkslGucOoCAAVkvcRauxh6bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=95vDfAREVZ0Q7kNvwG2HCof&_nc_oc=AdnJHu9wT1hysgI0a-XBAU4oCMp-qnK5PFvIrZfpUiVik4Duw54BqsF1uQthqAGrwzzMo11NG-geWH9dyq5NZlzz&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfmS8y7mZCSfsiLI31-2PmcGpXDzGcF7C222ey82E6YbPA&oe=693B6B0C,0,0,[]
rita.sihombing28,Martogi Situmorang,Busuk kali hatimuu,2025-12-06T14:58:24,https://scontent.cdninstagram.com/v/t51.82787-19/530509923_17851336908521462_333245209368494935_n.jpg?stp=dst-webp_s150x150&_nc_cat=108&ig_cache_key=GGPwnh-2vzJDsms-AFeDgpfA7J8EbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=Hcvz-NM5MgcQ7kNvwHvrtfS&_nc_oc=AdmdU-SKff4RquFInwikcHOpn9Yl0cz0EPZzrlnM0QnwMDEYE4SeUOK1zxTOFtGQra91Z1q_2s3kvznOVqePZNle&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=TurruKeBmjMaZw_3OueG7A&oh=00_AfkPQ0J0nha9LTeTgn2Kz77Fb1BX1r1FtWxmwFs9KlQKBw&oe=693B4ECA,0,0,[]
