username,full_name,comment,create_time,avatar,total_like,total_reply,replies
fahmy_lrs_,f@hmy',Aura negatifnya nggak bisa dibendung si serakah satu nih,2025-11-29T20:18:20,https://scontent.cdninstagram.com/v/t51.82787-19/570900675_17976019412945496_7444890680833492339_n.jpg?stp=dst-webp_s150x150&_nc_cat=102&ig_cache_key=GMNAByJYipUrGN0-AHNFsiahkFFnbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=OTMf6mZlZ1oQ7kNvwEZxXh3&_nc_oc=AdljbuRUiPYVp3sZMxRZ_ZFus3MhYVQYtCcuc1gv9wJHu3sh6d__n7FYlhE4Sc7EAI27uRByEULzAFf8Ix82PuwG&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=jkw-CRmGqSufRwluCg2q2w&oh=00_Afm15G3HvZ8A6yUaoWyZm1ekAKxo_S1wxGeXq42NvzFmTg&oe=693B6AC8,0,0,[]
znab_bungs,z'nabbungs,aku gak pernah benci liat org naik mobil mewah. malah ku sholawatin,2025-11-29T20:10:29,https://scontent.cdninstagram.com/v/t51.2885-19/352236591_759331776197857_4531866807026418365_n.jpg?stp=dst-webp_s150x150&_nc_cat=107&ig_cache_key=GC_0-hThdMm0m7ICAL2CMaLZbOQ_bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy43MjAuQzMifQ%3D%3D&_nc_ohc=E9WZun98lAUQ7kNvwG5wim4&_nc_oc=AdkcGHxzr_BCRq3bnWHhDOOxUWhO1_9JYXbJgUh_XemUtQ6pmINn1YZNHMAgdgo0txxV4DTg5G3d8IlDdvrGQzdD&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfnZbDf8_BiRdYBGg9He6Q7fT4kJIoG7c_hv7IQtXM0bAQ&oe=693B84F9,0,0,[]
zamratul_ikhsann,Ikhsannn,Berarti emang fix ini orang lebih dari firaun,2025-11-29T19:44:16,https://scontent.cdninstagram.com/v/t51.82787-19/552957591_18381180979179914_6525036032304868668_n.jpg?stp=dst-webp_s150x150&_nc_cat=102&ig_cache_key=GJd29SCK8dAylk1BADztJ0SzlY1abmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=NlGHqRjcqlYQ7kNvwEAZhrP&_nc_oc=AdnC_zvr6SAbRIwwHhaeuhRnUMUUIPs-yyZGPLyVXcAyWWhh5b7f4Ce-xgbtUrjasn2PyVlq1ESpB3bYwg63ooOy&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=jkw-CRmGqSufRwluCg2q2w&oh=00_Afk5TvlwDFOt5at03t7aT7EhdKHVAkHO0fKOKnYlN3JU0w&oe=693B9296,0,0,[]
ata_kurniawati,Ata Kurniawati,"Saya dr sangat miskin samoai saat ini sederhana, saya tdk pernah marah lihat org kaya, mbl bagus dll. Sy gak cemburu. Tdk semua org miskin  cemburu dan iri dgn kehidupan org lain lo.. jgn samakan kwalitas diri mu dgn org lain.. dunia tdk sesempit daun kelor..",2025-11-29T19:50:33,https://scontent.cdninstagram.com/v/t51.2885-19/336311737_1671751753270432_8930608659359773690_n.jpg?stp=dst-webp_s150x150&_nc_cat=105&ig_cache_key=GLm1CxSgBGgJc-AFAPqzKmFC5e97bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy42MjIuQzMifQ%3D%3D&_nc_ohc=2MnOwDo4cq0Q7kNvwFhscpY&_nc_oc=AdmfHXjjLwYNollJcfuKuWCLDCdgnsZFtBD-QbBl6Fdspbt6HA320FQorM7QXlt80joZEVkfT2_Nk0WQkS-z_N8i&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AflFJ-y3kX4DIjr33LBVumPTBd8MIt8wMVTA69YGQucQ8A&oe=693B8D92,0,0,[]
yuliusmw24,Yus Yulius MW,Bajingan😮,2025-11-29T19:46:31,https://scontent.cdninstagram.com/v/t51.2885-19/368187532_179100141856778_8520936838443227408_n.jpg?stp=dst-webp_s150x150&_nc_cat=106&ig_cache_key=GIwY8hUKqFUA5KIAABDZ8qDockB2bkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy41NjEuQzMifQ%3D%3D&_nc_ohc=Cgbj9jaKYXwQ7kNvwFN73uG&_nc_oc=Adl6MpVNBJq1GgY-SeSp0otkcUag8E-jwD57ZAGC9NvE7iKK7-lTU_EjmbQZfbnez4MqLYEK07vaJc8E_xMtKkmb&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AflhpQ_L7_N0FA8Yj16abSfpD99I5mXKTkZ8TXEXa9JZow&oe=693B63E4,0,0,[]
plethoraanz,,nyenyenyenyenyenyenyenyenye,2025-11-29T19:19:39,https://scontent.cdninstagram.com/v/t51.82787-19/587623046_18013970906802859_6145587962291183311_n.jpg?stp=dst-webp_s150x150&_nc_cat=104&ig_cache_key=GIZqBiOr6uRwnP8-AM9eSOSwg0lVbmNDAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=eiu0KQaN5V0Q7kNvwEMM_UI&_nc_oc=AdkbWYMHZ0LxehtJoZdNdv6GpxBzL81Dplv174S7SYdLCKcqCcTqvVpIlmmQaBwrYTpfS3gT7_P29KGpBr62BZsD&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=jkw-CRmGqSufRwluCg2q2w&oh=00_AfmWDp5uV7AWJZw8eah9xxeltONuznCv3hVN8u2Tou3iFw&oe=693B5EB5,0,0,[]
loversaja352846199,stia_cimoy,Secara tidak sadar dia bilang dia JAHAT🔥 menyala sekali ya bahlil,2025-11-29T19:28:17,https://scontent.cdninstagram.com/v/t51.89012-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-webp_s150x150&_nc_cat=1&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy5DMyJ9&_nc_ohc=Z7kRd9ibHtAQ7kNvwGOwvXk&_nc_oc=Adn2yDTJJZt_1ggDIQY_oTFFdG85HQ37XdKyZtSTz2Vb1JSf5ip9j1TwYxwwb1lCoTifs6GLbXkXoeV602MkI-eb&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=jkw-CRmGqSufRwluCg2q2w&oh=00_AfkJ0quIM76GWMXtOxcf7tUcbGI_cjJOHjNcG1GCqhKrHQ&oe=693B74D9,0,0,[]
joko__riyanto,ㅤ,Dari mukanya aja udah keliatan sifat orang ini,2025-11-29T19:15:52,https://scontent.cdninstagram.com/v/t51.75761-19/496105588_18476952799068977_6233549731071932404_n.jpg?stp=dst-webp_s150x150&_nc_cat=110&ig_cache_key=GHT4kR0xwx7QsKRBAPQ3RiJ0BIJWbvEnAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=DWK0a845XEsQ7kNvwFlbk5I&_nc_oc=AdmLFJkOdyLjsMkQvlMgOSBzkY4mNzUcXjGE8m1wNSAUF532q18qx6sicbYODITCBCRUG7ATs0YOXhsLpaHw7bPT&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=jkw-CRmGqSufRwluCg2q2w&oh=00_Afl3JvG-u_YRX-F0p0iVk8LteK1iCzT_HInbqt4y41l8dQ&oe=693B87B3,0,0,[]
nitanofianita,Nita Harlyda Nofianita,Ooh..bagus juga barang ini..enaknya diapain ini orang 😁,2025-11-29T19:27:07,https://scontent.cdninstagram.com/v/t51.75761-19/497906073_18037833527632130_266218085732400865_n.jpg?stp=dst-webp_s150x150&_nc_cat=111&ig_cache_key=GJlxrR0Coe5jUBVAAOE_3UDwy7EDbvEnAQAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=UlD4BZ7qyu8Q7kNvwGrsIq3&_nc_oc=AdnNS-w_l50MKjj8z-Ts3ZuATwNTiPlRLbe85Sg9PhxuerSftiWlF1yYW2doRGKRLmILYUKBt7mvGx78w9MaMj-M&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_gid=jkw-CRmGqSufRwluCg2q2w&oh=00_Afle-e8Hi2XyQBCuFIBt_aObShuFD9OpvcwstblO99qGQQ&oe=693B6139,0,0,[]
miaroshitaaa,Mia Roshita,Makanya rajin rajin ibadah sm paham agama lil..,2025-11-29T19:27:57,https://scontent.cdninstagram.com/v/t51.2885-19/472248820_8984406901674289_2353482860166478720_n.jpg?stp=dst-webp_s150x150&_nc_cat=103&ig_cache_key=GPTxJRwxUeQ9ResfAIB7MSkxQKkgbkULAAAB1501500j-ccb7-5&ccb=7-5&_nc_sid=669407&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=La7PCOSDNzwQ7kNvwEM0Nqe&_nc_oc=AdmDFOZOERovjRUH-dxcdHsg2ooJt6rCLBl_PUJYrtqm4BQYoi08bFoVeWgyrPFqV_IXqDOF-CR4OW6DwfuH5HaB&_nc_ad=z-m&_nc_cid=1101&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&oh=00_AfnBiuSpZ6MAzNGXvsRX_d__xhDPpwhxoG4htRRm5-qVlg&oe=693B93FF,0,0,[]
